@relation 'fin_table-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6'

@attribute crop numeric
@attribute state {Orissa,'Andhra Pradesh',Rajasthan,Chhattisgarh,Gujarat,Haryana,'Madhya Pradesh','Tamil Nadu','Uttar Pradesh','Himachal Pradesh',Uttarakhand,Punjab,'Telangana ','Arunachal Pradesh','Jammu and Kashmir ',Kerala,Meghalaya}
@attribute district numeric
@attribute season numeric
@attribute year numeric
@attribute total_cost numeric
@attribute temp numeric
@attribute rainfall numeric
@attribute yield_ton_hect numeric

@data
3,Orissa,124,1,2014,34464.191,22.7575,318.85,0.033333
12,'Uttar Pradesh',158,1,2014,16090.9,22.7575,136,0.034722
12,'Uttar Pradesh',173,1,2014,16090.9,22.7575,136,0.034734
12,'Uttar Pradesh',255,1,2014,16090.9,22.7575,136,0.034801
12,'Uttar Pradesh',185,1,2014,16090.9,22.7575,136,0.035032
12,'Uttar Pradesh',171,1,2014,16090.9,22.7575,136,0.03517
3,'Andhra Pradesh',218,1,2012,20890.8,22.51,207.4,0.038085
17,Orissa,127,0,2012,16731.4,14.92,14.6,0.038095
12,'Uttar Pradesh',182,1,2014,16090.9,22.7575,136,0.051992
17,Orissa,132,0,2012,16731.4,14.92,14.6,0.062982
18,'Madhya Pradesh',107,1,2014,33433.4,22.7575,187,0.065574
12,'Uttar Pradesh',206,1,2012,36463.18,22.51,138.83,0.069021
5,'Andhra Pradesh',10,1,2012,81695.3,22.51,207.4,0.069061
3,'Tamil Nadu',142,1,2013,25275.4,23.0075,98.7,0.071228
4,Orissa,1,1,2013,15777,23.0075,308.5,0.075
17,'Madhya Pradesh',98,1,2012,37506.713,22.51,244.2,0.076923
12,Orissa,238,0,2012,12859.9,14.92,14.6,0.079104
18,'Tamil Nadu',143,1,2013,28501.856,23.0075,98.7,0.079186
12,Orissa,132,0,2012,12859.9,14.92,14.6,0.081006
12,'Uttar Pradesh',188,1,2014,16090.9,22.7575,136,0.081055
16,Orissa,120,0,2014,20930.677,15.065,10.9,0.082031
16,Orissa,132,0,2013,22986.618,15.305,3.3,0.082353
12,'Uttar Pradesh',195,1,2012,48005.614,22.51,138.83,0.083132
4,Orissa,238,1,2014,21957.6,22.7575,318.85,0.084615
4,'Madhya Pradesh',89,1,2012,20158,22.51,244.2,0.084674
12,'Uttar Pradesh',202,1,2014,16090.9,22.7575,136,0.086999
3,Orissa,128,2,2012,15277.9,23.675,288.33,0.087019
12,'Uttar Pradesh',195,1,2013,48210.19,23.0075,162.93,0.089077
3,'Madhya Pradesh',91,0,2012,38757.107,14.92,1.55,0.090909
17,'Madhya Pradesh',98,1,2013,16968.908,23.0075,271.33,0.090909
12,Uttarakhand,213,1,2012,97196.441,22.51,257.98,0.090909
12,'Uttar Pradesh',206,1,2013,33649.346,23.0075,162.93,0.09198
12,Orissa,120,1,2012,12859.9,22.51,262.43,0.092308
12,Orissa,131,0,2012,12859.9,14.92,14.6,0.095652
4,'Andhra Pradesh',3,0,2012,31845.6,14.92,10.08,0.096018
12,Orissa,125,0,2012,12859.9,14.92,14.6,0.097041
4,'Telangana ',12,0,2012,20282.854,14.92,1.73,0.09796
3,'Madhya Pradesh',67,0,2012,28780.421,14.92,1.55,0.098291
17,Orissa,122,0,2012,16731.4,14.92,14.6,0.1
4,Orissa,126,1,2012,13917.7,22.51,262.43,0.1
12,Orissa,130,1,2012,12859.9,22.51,262.43,0.1
4,Orissa,120,2,2012,13917.7,23.675,288.33,0.1
4,Orissa,125,2,2012,13917.7,23.675,288.33,0.1
12,Orissa,133,2,2013,15886.1,23.605,278.9,0.1
12,Orissa,120,1,2014,24694.3,22.7575,318.85,0.1
12,Orissa,125,2,2014,24694.3,23.8,313.95,0.1
16,Orissa,124,0,2014,22037.827,15.065,10.9,0.1
16,Orissa,120,0,2012,24437.034,14.92,14.6,0.101235
12,'Uttar Pradesh',163,1,2012,43312.435,22.51,138.83,0.101988
4,'Madhya Pradesh',109,1,2014,25638.8,22.7575,187,0.103638
12,'Uttar Pradesh',195,1,2014,16090.9,22.7575,136,0.105724
12,'Uttar Pradesh',190,1,2014,16090.9,22.7575,136,0.106013
4,'Madhya Pradesh',102,1,2014,25638.8,22.7575,187,0.106028
12,Orissa,124,0,2012,12859.9,14.92,14.6,0.106061
17,'Madhya Pradesh',102,1,2013,17160.89,23.0075,271.33,0.106073
12,'Uttar Pradesh',192,1,2014,16090.9,22.7575,136,0.106635
12,'Uttar Pradesh',202,1,2013,66957.848,23.0075,162.93,0.10704
12,'Uttar Pradesh',198,1,2014,16090.9,22.7575,136,0.107764
12,'Uttar Pradesh',155,1,2014,16090.9,22.7575,136,0.10787
12,'Uttar Pradesh',202,1,2012,37364.261,22.51,138.83,0.107974
12,'Uttar Pradesh',191,1,2014,16090.9,22.7575,136,0.107991
16,Orissa,128,0,2012,21959.12,14.92,14.6,0.108075
12,'Uttar Pradesh',175,1,2014,16090.9,22.7575,136,0.108317
12,'Uttar Pradesh',165,1,2013,15879.277,23.0075,162.93,0.10889
3,'Madhya Pradesh',107,0,2012,27485.119,14.92,1.55,0.111111
12,Orissa,124,0,2014,24694.3,15.065,10.9,0.1125
4,Orissa,124,1,2014,21957.6,22.7575,318.85,0.113333
12,'Uttar Pradesh',190,1,2012,39804.306,22.51,138.83,0.118015
4,'Madhya Pradesh',99,0,2014,25638.8,15.065,20.1,0.119026
4,Orissa,120,1,2012,13917.7,22.51,262.43,0.12
3,Orissa,123,1,2013,16405.6,23.0075,308.5,0.12
17,'Madhya Pradesh',89,1,2014,17978.2,22.7575,187,0.12
3,Orissa,132,0,2012,15277.9,14.92,14.6,0.120354
4,Orissa,125,1,2012,13917.7,22.51,262.43,0.121296
17,'Madhya Pradesh',81,1,2012,39572.853,22.51,244.2,0.121324
12,Orissa,124,0,2013,15886.1,15.305,3.3,0.121538
12,Orissa,120,2,2013,15886.1,23.605,278.9,0.123529
4,'Madhya Pradesh',76,1,2012,20158,22.51,244.2,0.123982
3,'Madhya Pradesh',101,1,2014,22215.743,22.7575,187,0.124567
3,'Madhya Pradesh',67,0,2013,35276.83,15.305,10.93,0.124601
4,Orissa,132,0,2012,13917.7,14.92,14.6,0.124975
4,Orissa,126,2,2012,13917.7,23.675,288.33,0.125
4,Orissa,126,1,2013,15777,23.0075,308.5,0.125
4,Orissa,120,1,2014,21957.6,22.7575,318.85,0.125
4,'Madhya Pradesh',76,0,2012,20158,14.92,1.55,0.125
17,'Madhya Pradesh',94,1,2012,37690.743,22.51,244.2,0.125874
12,'Uttar Pradesh',190,1,2013,39284.847,23.0075,162.93,0.126004
12,'Uttar Pradesh',198,1,2013,50735.135,23.0075,162.93,0.126197
3,'Madhya Pradesh',102,1,2014,21974.578,22.7575,187,0.126706
17,'Madhya Pradesh',99,1,2012,37041.711,22.51,244.2,0.127358
12,Kerala,64,1,2012,23074.758,22.51,323.2,0.127835
12,'Uttar Pradesh',206,1,2014,16090.9,22.7575,136,0.128018
9,Orissa,130,0,2013,21644.179,15.305,3.3,0.128571
4,'Andhra Pradesh',3,0,2014,33527.1,15.065,4.28,0.12902
3,'Madhya Pradesh',104,1,2012,18329.115,22.51,244.2,0.129204
3,'Madhya Pradesh',76,1,2012,22792.99,22.51,244.2,0.129896
12,Orissa,125,0,2014,24694.3,15.065,10.9,0.129897
16,Orissa,238,0,2014,25855.227,15.065,10.9,0.129984
12,'Andhra Pradesh',11,0,2014,29638.9,15.065,4.28,0.130047
12,Gujarat,36,1,2012,21722.1,22.51,169.85,0.130435
12,'Uttar Pradesh',254,1,2014,16090.9,22.7575,136,0.130435
16,Orissa,129,0,2012,21959.12,14.92,14.6,0.130769
16,Orissa,128,0,2014,23601.493,15.065,10.9,0.130804
12,Orissa,120,2,2012,12859.9,23.675,288.33,0.13125
8,'Telangana ',21,1,2012,20213.506,22.51,204.05,0.131579
12,Kerala,63,1,2012,36633.19,22.51,323.2,0.132251
4,Orissa,120,0,2012,13917.7,14.92,14.6,0.133024
12,'Uttar Pradesh',167,1,2014,16090.9,22.7575,136,0.133333
12,'Uttar Pradesh',198,1,2012,38497.37,22.51,138.83,0.13416
3,'Madhya Pradesh',100,1,2014,21974.578,22.7575,187,0.135491
17,Orissa,125,0,2012,16731.4,14.92,14.6,0.136015
4,'Madhya Pradesh',91,0,2012,20158,14.92,1.55,0.136364
4,Orissa,238,1,2012,13917.7,22.51,262.43,0.137288
3,'Madhya Pradesh',76,0,2012,43085.563,14.92,1.55,0.137324
17,'Madhya Pradesh',91,1,2012,38914.896,22.51,244.2,0.137393
3,Orissa,133,1,2012,15277.9,22.51,262.43,0.1375
16,Orissa,238,0,2012,22067.068,14.92,14.6,0.13899
12,'Uttar Pradesh',182,1,2012,40093.133,22.51,138.83,0.139001
3,Orissa,120,2,2012,15277.9,23.675,288.33,0.14
16,Orissa,125,0,2012,24383.668,14.92,14.6,0.140067
16,Orissa,126,0,2012,24824.514,14.92,14.6,0.141176
12,'Andhra Pradesh',11,0,2013,27358.5,15.305,8.65,0.141954
4,'Madhya Pradesh',89,0,2012,20158,14.92,1.55,0.142857
17,'Madhya Pradesh',66,1,2012,22966.947,22.51,244.2,0.142857
12,'Uttar Pradesh',182,1,2013,29530.553,23.0075,162.93,0.143997
4,Orissa,238,0,2012,13917.7,14.92,14.6,0.145
3,Orissa,120,1,2012,15277.9,22.51,262.43,0.145053
12,'Uttar Pradesh',164,1,2014,16090.9,22.7575,136,0.145658
12,'Uttar Pradesh',165,1,2014,16090.9,22.7575,136,0.145946
12,Orissa,125,0,2013,15886.1,15.305,3.3,0.146006
12,'Uttar Pradesh',183,1,2014,16090.9,22.7575,136,0.146631
3,Orissa,123,1,2014,35164.189,22.7575,318.85,0.146667
12,'Uttar Pradesh',170,1,2014,16090.9,22.7575,136,0.146694
4,'Madhya Pradesh',81,1,2012,20158,22.51,244.2,0.146894
4,'Madhya Pradesh',76,0,2013,20336.1,15.305,10.93,0.147059
12,'Uttar Pradesh',253,1,2014,16090.9,22.7575,136,0.147256
12,'Uttar Pradesh',207,1,2014,16090.9,22.7575,136,0.147335
12,'Uttar Pradesh',205,1,2014,16090.9,22.7575,136,0.147601
12,'Uttar Pradesh',160,1,2014,16090.9,22.7575,136,0.1477
12,'Uttar Pradesh',169,1,2014,16090.9,22.7575,136,0.147727
12,'Uttar Pradesh',179,1,2014,16090.9,22.7575,136,0.147826
12,'Uttar Pradesh',166,1,2014,16090.9,22.7575,136,0.14881
12,'Uttar Pradesh',180,1,2014,16090.9,22.7575,136,0.149038
4,'Madhya Pradesh',104,1,2012,20158,22.51,244.2,0.149365
12,'Uttar Pradesh',201,1,2014,16090.9,22.7575,136,0.149425
3,Orissa,1,2,2012,15277.9,23.675,288.33,0.15
4,Orissa,128,2,2012,13917.7,23.675,288.33,0.15
12,'Uttar Pradesh',159,1,2014,16090.9,22.7575,136,0.15
12,'Uttar Pradesh',172,1,2014,16090.9,22.7575,136,0.15
12,'Uttar Pradesh',178,1,2014,16090.9,22.7575,136,0.15
3,'Madhya Pradesh',65,1,2012,31331.57,22.51,244.2,0.15
18,'Andhra Pradesh',2,1,2012,34541.1,22.51,207.4,0.150019
12,'Telangana ',12,1,2012,20212.97,22.51,204.05,0.150106
17,Chhattisgarh,30,1,2012,35279.356,22.51,284.48,0.15015
12,'Uttar Pradesh',163,1,2014,16090.9,22.7575,136,0.151014
12,Orissa,128,2,2012,12859.9,23.675,288.33,0.151105
12,'Uttar Pradesh',161,1,2014,16090.9,22.7575,136,0.151515
12,Chhattisgarh,161,1,2014,16090.9,22.7575,268.75,0.151515
17,'Madhya Pradesh',102,1,2012,41451.707,22.51,244.2,0.151834
16,Orissa,238,0,2013,22986.618,15.305,3.3,0.152005
12,'Uttar Pradesh',156,1,2014,16090.9,22.7575,136,0.152174
4,'Madhya Pradesh',109,1,2012,20158,22.51,244.2,0.152536
17,Orissa,126,0,2012,16731.4,14.92,14.6,0.153002
4,'Madhya Pradesh',67,1,2012,20158,22.51,244.2,0.153323
18,'Andhra Pradesh',2,0,2013,39446.8,15.305,8.65,0.153846
4,'Madhya Pradesh',107,0,2012,20158,14.92,1.55,0.153846
12,'Uttar Pradesh',196,1,2014,16090.9,22.7575,136,0.153846
12,'Uttar Pradesh',200,1,2014,16090.9,22.7575,136,0.153846
7,'Uttar Pradesh',170,1,2014,42375.924,22.7575,136,0.153846
3,'Madhya Pradesh',89,1,2012,22746.548,22.51,244.2,0.154286
16,Orissa,120,0,2013,22985.3,15.305,3.3,0.154884
16,Orissa,129,0,2014,27282.931,15.065,10.9,0.155556
4,Orissa,238,1,2013,15777,23.0075,308.5,0.156
4,'Madhya Pradesh',68,0,2012,20158,14.92,1.55,0.156627
4,Orissa,128,0,2012,13917.7,14.92,14.6,0.156992
16,Orissa,124,0,2013,22986.618,15.305,3.3,0.157692
12,Orissa,128,2,2013,15886.1,23.605,278.9,0.157895
12,'Uttar Pradesh',193,1,2014,16090.9,22.7575,136,0.157895
4,Orissa,125,0,2012,13917.7,14.92,14.6,0.157992
12,'Uttar Pradesh',165,1,2012,25447.765,22.51,138.83,0.159028
16,Orissa,128,0,2013,22986.618,15.305,3.3,0.159044
17,Orissa,133,0,2012,16731.4,14.92,14.6,0.159091
3,'Madhya Pradesh',67,1,2012,22807.526,22.51,244.2,0.159336
17,Orissa,1,0,2012,16731.4,14.92,14.6,0.159996
10,'Tamil Nadu',138,0,2013,28439.484,15.305,29.5,0.160714
3,'Madhya Pradesh',67,0,2014,38761.065,15.065,20.1,0.16092
12,'Uttar Pradesh',177,1,2012,23873.127,22.51,138.83,0.161001
12,'Himachal Pradesh',177,1,2012,77081.462,22.51,164.58,0.161001
3,Orissa,120,0,2012,15277.9,14.92,14.6,0.161038
12,Orissa,120,0,2014,24694.3,15.065,10.9,0.161047
18,'Madhya Pradesh',109,1,2013,31704.2,23.0075,271.33,0.161118
12,'Andhra Pradesh',11,0,2012,19375.6,14.92,10.08,0.161907
12,Orissa,128,0,2014,24694.3,15.065,10.9,0.162025
4,'Madhya Pradesh',91,1,2012,20158,22.51,244.2,0.162132
7,'Andhra Pradesh',2,1,2012,70609.5,22.51,207.4,0.1625
16,Orissa,124,0,2012,24382.3,14.92,14.6,0.1625
4,'Madhya Pradesh',100,1,2014,25638.8,22.7575,187,0.162666
17,'Madhya Pradesh',66,1,2013,16961.965,23.0075,271.33,0.163265
3,Orissa,120,1,2013,16405.6,23.0075,308.5,0.16391
3,Orissa,122,1,2012,15277.9,22.51,262.43,0.164008
18,'Madhya Pradesh',100,1,2014,33433.4,22.7575,187,0.164548
16,Orissa,129,0,2013,22986.618,15.305,3.3,0.164706
16,Orissa,123,0,2012,24437.034,14.92,14.6,0.165714
12,Orissa,127,1,2012,12859.9,22.51,262.43,0.166667
18,'Andhra Pradesh',2,0,2012,34541.1,14.92,10.08,0.166667
12,Orissa,124,1,2013,15886.1,23.0075,308.5,0.166667
4,'Madhya Pradesh',65,0,2013,20336.1,15.305,10.93,0.166667
4,'Madhya Pradesh',107,0,2013,20336.1,15.305,10.93,0.166667
4,'Madhya Pradesh',68,0,2014,25638.8,15.065,20.1,0.166667
12,'Uttar Pradesh',168,1,2014,16090.9,22.7575,136,0.166667
17,Chhattisgarh,23,1,2012,25983.063,22.51,284.48,0.166667
3,'Madhya Pradesh',68,0,2013,35480.024,15.305,10.93,0.166667
3,'Madhya Pradesh',91,0,2013,33117.798,15.305,10.93,0.166667
3,'Madhya Pradesh',107,0,2013,32708.702,15.305,10.93,0.166667
10,'Tamil Nadu',151,0,2013,25628.015,15.305,29.5,0.166667
12,'Uttar Pradesh',193,1,2013,44708.443,23.0075,162.93,0.166667
7,'Uttar Pradesh',181,1,2014,42175.801,22.7575,136,0.166667
18,'Andhra Pradesh',2,1,2013,39446.8,23.0075,207.25,0.166974
12,'Uttar Pradesh',189,1,2012,40944.492,22.51,138.83,0.167742
17,Chhattisgarh,26,1,2012,25811.515,22.51,284.48,0.16905
3,Orissa,123,1,2012,15277.9,22.51,262.43,0.169231
16,Orissa,131,0,2012,22559.339,14.92,14.6,0.17
16,Orissa,126,0,2013,22986.618,15.305,3.3,0.170732
12,'Uttar Pradesh',199,1,2014,16090.9,22.7575,136,0.170819
