"2012-13","2013-14","2014-15","2015-16","2016-17",Commodity
"1520","1520","1550","1590","1650",8
"1175","1250","1250","1275","1330",6
"1175","1310","1310","1325","1365",2
"1500","1500","1550","1650","1700",9
"4400","4500","4600","4850","5225",3
"4300","4300","4350","4625","5000",4
"3600","3700","3750","3800","3860",7
"3700","4000","4000","4030","4220",5
"3700","3700","3750","3800","3950",19
"4200","4500","4600","4700","5000",12
"3500","3500","3600","3650","3825",17
"1350","1400","1450","1525","1625",11
"980","1100","1150","1225","1325",20
"3000","3100","3175","3500","4000",10
"3000","3050","3100","3350","3700",16
"2800","3000","3050","3300","3700",13
"2200","2300","2400","2700","3200",21
"170","210","220","230","230",1
